num_target;      la; isd;  niter;     tex; tr_acc; te_acc;        L*
1;  0.0000;1;27;  0.1520;  100.0;  100.0;  5.04e-07
1;  0.0100;1;26;  0.2160;  100.0;  100.0;  2.53e-02
1;  0.1000;1;18;  0.1750;  100.0;  100.0;  9.27e-02
2;  0.0000;1;204;17.540;  100.0;   98.8;  1.16e-06
2;  0.0100;1;103;  0.7900;  100.0;   99.6;  4.87e-02
2;  0.1000;1;35;  0.2660;   94.4;   95.6;  1.29e-01
3;  0.0000;1;643;39.720;  100.0;   96.0;  1.54e-06
3;  0.0100;1;177;11.090;   99.2;   98.8;  6.61e-02
3;  0.1000;1;33;  0.2270;   98.8;   96.8;  1.60e-01
4;  0.0000;1;31;  0.1980;  100.0;  100.0;  9.89e-08
4;  0.0100;1;44;  0.3140;  100.0;  100.0;  2.46e-02
4;  0.1000;1;29;  0.2370;  100.0;   99.6;  8.84e-02
5;  0.0000;1;75;  0.4680;  100.0;  100.0;  2.70e-07
5;  0.0100;1;82;  0.5830;  100.0;  100.0;  3.26e-02
5;  0.1000;1;30;  0.2650;  100.0;   99.6;  1.10e-01
6;  0.0000;1;182;12.890;  100.0;  100.0;  7.83e-07
6;  0.0100;1;105;  0.7060;  100.0;   99.6;  4.11e-02
6;  0.1000;1;33;  0.2330;  100.0;   98.4;  1.24e-01
7;  0.0000;1;71;  0.4380;  100.0;   98.8;  7.64e-07
7;  0.0100;1;64;  0.5270;  100.0;   99.2;  3.02e-02
7;  0.1000;1;23;  0.2310;  100.0;   99.2;  1.01e-01
8;  0.0000;1;974;61.140;  100.0;   98.0;  1.73e-06
8;  0.0100;1;218;13.450;   99.6;   99.2;  7.65e-02
8;  0.1000;1;46;  0.3020;   88.4;   84.0;  1.65e-01
9;  0.0000;1;620;36.950;  100.0;   98.0;  1.69e-06
9;  0.0100;1;180;10.870;   99.6;   99.6;  6.27e-02
9;  0.1000;1;42;  0.2950;   98.0;   98.0;  1.56e-01
0;  0.0000;1;223;12.920;  100.0;   99.2;  9.76e-07
0;  0.0100;1;145;10.040;  100.0;   99.6;  4.84e-02
0;  0.1000;1;33;  0.2290;  100.0;   98.4;  1.40e-01
1;  0.0000;3;5;  0.0390;  100.0;  100.0;  1.97e-34
2;  0.0000;3;25;  0.2280;  100.0;   99.2;  9.15e-28
3;  0.0000;3;15;  0.1290;   99.6;   98.8;  4.00e-03
4;  0.0000;3;5;  0.0370;  100.0;   99.6;  4.22e-29
5;  0.0000;3;5;  0.0310;  100.0;  100.0;  2.94e-12
6;  0.0000;3;13;  0.1220;  100.0;   98.8;  5.61e-09
7;  0.0000;3;5;  0.0220;  100.0;   99.2;  8.29e-14
8;  0.0000;3;8;  0.0550;   98.4;   98.8;  1.60e-02
9;  0.0000;3;7;  0.0450;   98.8;   99.6;  1.20e-02
0;  0.0000;3;7;  0.0390;  100.0;   97.6;  6.48e-35
1;  0.0100;3;37;  0.3760;  100.0;  100.0;  2.53e-02
2;  0.0100;3;42;  0.4030;  100.0;   99.6;  4.87e-02
3;  0.0100;3;41;  0.3550;   99.2;   98.8;  6.61e-02
4;  0.0100;3;36;  0.3310;  100.0;  100.0;  2.46e-02
5;  0.0100;3;41;  0.4220;  100.0;  100.0;  3.26e-02
6;  0.0100;3;40;  0.3490;  100.0;   99.6;  4.11e-02
7;  0.0100;3;37;  0.3740;  100.0;   99.2;  3.02e-02
8;  0.0100;3;45;  0.3530;   99.6;   99.2;  7.65e-02
9;  0.0100;3;40;  0.3690;   99.6;   99.6;  6.27e-02
0;  0.0100;3;41;  0.4030;  100.0;   99.6;  4.84e-02
1;  0.1000;3;18;  0.1870;  100.0;  100.0;  9.27e-02
2;  0.1000;3;18;  0.1670;   94.4;   95.6;  1.29e-01
3;  0.1000;3;19;  0.1880;   98.8;   96.8;  1.60e-01
4;  0.1000;3;17;  0.1960;  100.0;   99.6;  8.84e-02
5;  0.1000;3;17;  0.1780;  100.0;   99.6;  1.10e-01
6;  0.1000;3;19;  0.1830;  100.0;   98.4;  1.24e-01
7;  0.1000;3;18;  0.2290;  100.0;   99.2;  1.01e-01
8;  0.1000;3;20;  0.1840;   88.4;   84.0;  1.65e-01
9;  0.1000;3;16;  0.1460;   98.0;   98.0;  1.56e-01
0;  0.1000;3;19;  0.1650;  100.0;   98.4;  1.40e-01
1;  0.0000;7;125125;25.430;  100.0;  100.0;  1.51e-04
1;  0.0100;7;1375;  0.0150;  100.0;  100.0;  2.65e-02
1;  0.1000;7;1500;  0.0390;   99.2;  100.0;  1.11e-01
2;  0.0000;7;1500;  0.0240;  100.0;   99.2;  4.00e-03
2;  0.0100;7;1500;  0.0190;   99.2;   99.2;  5.21e-02
2;  0.1000;7;1500;  0.0360;   84.8;   95.6;  1.83e-01
3;  0.0000;7;1375;  0.0320;   98.8;   98.8;  2.22e-02
3;  0.0100;7;1500;  0.0290;   98.8;   98.8;  7.30e-02
3;  0.1000;7;1500;  0.0280;   52.8;   90.0;  2.68e-01
4;  0.0000;7;1625;  0.0230;  100.0;  100.0;  9.08e-04
4;  0.0100;7;1375;  0.0240;  100.0;  100.0;  2.51e-02
4;  0.1000;7;1500;  0.0220;   98.4;   99.2;  1.22e-01
5;  0.0000;7;125125;23.770;  100.0;  100.0;  1.88e-04
5;  0.0100;7;1500;  0.0250;  100.0;  100.0;  3.36e-02
5;  0.1000;7;1500;  0.0240;   92.4;   97.2;  1.57e-01
6;  0.0000;7;1500;  0.0430;  100.0;  100.0;  2.38e-03
6;  0.0100;7;1375;  0.0340;  100.0;  100.0;  4.55e-02
6;  0.1000;7;1500;  0.0370;   97.6;   99.2;  1.49e-01
7;  0.0000;7;87500;17.430;  100.0;   99.2;  3.01e-04
7;  0.0100;7;1375;  0.0170;  100.0;   99.2;  3.14e-02
7;  0.1000;7;1500;  0.0390;   98.8;   98.4;  1.19e-01
8;  0.0000;7;1500;  0.0340;   98.8;   98.8;  1.42e-02
8;  0.0100;7;1500;  0.0250;   94.4;   99.6;  1.04e-01
8;  0.1000;7;1500;  0.0230;   50.8;   86.8;  2.45e-01
9;  0.0000;7;1375;  0.0320;   96.0;   99.6;  3.17e-02
9;  0.0100;7;1375;  0.0220;   98.8;  100.0;  7.43e-02
