num_target;      la; isd;  niter;     tex; tr_acc; te_acc;        L*;
         1;  0.0000;   1;   1000;  8.1302;  100.0;  100.0;  4.25e-04;
         1;  0.0000;   2;     24;  0.1248;  100.0;  100.0;  1.08e-07;
         1;  0.0000;   3; 125125;  2.7803;  100.0;  100.0;  1.49e-04;
         1;  0.0100;   1;    626;  5.3343;  100.0;  100.0;  2.53e-02;
         1;  0.0100;   2;     51;  0.1870;  100.0;  100.0;  2.53e-02;
         1;  0.0100;   3;   1500;  0.0430;  100.0;  100.0;  2.57e-02;
         1;  0.1000;   1;     76;  0.3157;  100.0;  100.0;  9.27e-02;
         1;  0.1000;   2;     24;  0.0904;  100.0;  100.0;  9.27e-02;
         1;  0.1000;   3;   3000;  0.0610;  100.0;  100.0;  9.27e-02;
         2;  0.0000;   1;   1000;  7.8801;  100.0;   99.2;  1.73e-03;
         2;  0.0000;   2;     32;  0.1298;  100.0;   99.2;  8.30e-08;
         2;  0.0000;   3; 125125;  3.7249;  100.0;   99.2;  6.81e-04;
         2;  0.0100;   1;    668;  4.5723;  100.0;   99.6;  4.87e-02;
         2;  0.0100;   2;     55;  0.2110;  100.0;   99.6;  4.87e-02;
         2;  0.0100;   3;   1500;  0.0487;  100.0;   99.2;  5.00e-02;
         2;  0.1000;   1;     85;  0.5065;   94.4;   95.6;  1.29e-01;
         2;  0.1000;   2;     24;  0.7109;   94.4;   95.6;  1.29e-01;
         2;  0.1000;   3;   2875;  0.2394;   95.6;   96.4;  1.29e-01;
         3;  0.0000;   1;   1000;  6.8396;  100.0;   97.6;  3.91e-03;
         3;  0.0000;   2;     47;  0.2039;   99.6;   99.2;  4.00e-03;
         3;  0.0000;   3;   1625;  0.0445;   98.4;   98.4;  1.65e-02;
         3;  0.0100;   1;    697;  5.5908;   99.2;   98.8;  6.61e-02;
         3;  0.0100;   2;     60;  0.1989;   99.2;   98.8;  6.61e-02;
         3;  0.0100;   3;   2875;  0.0627;   99.2;   98.8;  6.63e-02;
         3;  0.1000;   1;     83;  0.3403;   98.8;   96.8;  1.60e-01;
         3;  0.1000;   2;     24;  0.0759;   98.8;   96.8;  1.60e-01;
         3;  0.1000;   3;   2875;  0.0563;   98.4;   98.4;  1.61e-01;
         4;  0.0000;   1;   1000;  8.1163;  100.0;  100.0;  3.83e-04;
         4;  0.0000;   2;     24;  0.1209;  100.0;  100.0;  1.13e-07;
         4;  0.0000;   3;   1625;  0.0407;  100.0;   99.2;  2.06e-03;
         4;  0.0100;   1;    638;  5.4875;  100.0;  100.0;  2.46e-02;
         4;  0.0100;   2;     52;  0.1557;  100.0;  100.0;  2.46e-02;
         4;  0.0100;   3;   1500;  0.0363;  100.0;  100.0;  2.52e-02;
         4;  0.1000;   1;     78;  0.3597;  100.0;   99.6;  8.84e-02;
         4;  0.1000;   2;     25;  0.0810;  100.0;   99.6;  8.84e-02;
         4;  0.1000;   3;   2125;  0.0477;  100.0;   99.6;  8.85e-02;
         5;  0.0000;   1;   1000;  7.9110;  100.0;  100.0;  5.34e-04;
         5;  0.0000;   2;     23;  0.1080;  100.0;  100.0;  2.13e-07;
         5;  0.0000;   3; 125125;  3.5336;  100.0;  100.0;  1.87e-04;
         5;  0.0100;   1;    621;  4.5710;  100.0;  100.0;  3.26e-02;
         5;  0.0100;   2;     57;  0.1682;  100.0;  100.0;  3.26e-02;
         5;  0.0100;   3;   1500;  0.0407;  100.0;  100.0;  3.29e-02;
         5;  0.1000;   1;     78;  0.3677;  100.0;   99.6;  1.10e-01;
         5;  0.1000;   2;     24;  0.0803;  100.0;   99.6;  1.10e-01;
         5;  0.1000;   3;   2875;  0.0634;  100.0;  100.0;  1.11e-01;
         6;  0.0000;   1;   1000;  8.1046;  100.0;   99.6;  1.17e-03;
         6;  0.0000;   2;     27;  0.1224;  100.0;   99.6;  7.20e-08;
         6;  0.0000;   3; 125125;  3.7110;  100.0;   99.2;  4.48e-04;
         6;  0.0100;   1;    673;  4.5429;  100.0;   99.6;  4.11e-02;
         6;  0.0100;   2;     57;  0.1854;  100.0;   99.6;  4.11e-02;
         6;  0.0100;   3;   1625;  0.0391;  100.0;   99.6;  4.15e-02;
         6;  0.1000;   1;     82;  1.2591;  100.0;   98.4;  1.24e-01;
         6;  0.1000;   2;     24;  0.0768;  100.0;   98.4;  1.24e-01;
         6;  0.1000;   3;   2875;  0.0573;  100.0;   99.2;  1.24e-01;
         7;  0.0000;   1;   1000;  6.9860;  100.0;   99.2;  6.19e-04;
         7;  0.0000;   2;     25;  0.1094;  100.0;   98.8;  1.12e-07;
         7;  0.0000;   3;  94750;  3.2530;  100.0;   99.2;  3.49e-04;
         7;  0.0100;   1;    639;  4.5223;  100.0;   99.2;  3.02e-02;
         7;  0.0100;   2;     51;  0.1843;  100.0;   99.2;  3.02e-02;
         7;  0.0100;   3;   2500;  0.0547;  100.0;   99.2;  3.02e-02;
         7;  0.1000;   1;     79;  0.3253;  100.0;   99.2;  1.01e-01;
         7;  0.1000;   2;     24;  0.5227;  100.0;   99.2;  1.01e-01;
         7;  0.1000;   3;   1375;  0.3853;   97.2;   98.8;  1.34e-01;
         8;  0.0000;   1;   1000;  7.0044;  100.0;   99.2;  4.94e-03;
         8;  0.0000;   2;   1000; 12.9795;   98.4;   98.8;  1.55e-02;
         8;  0.0000;   3;   9375;  1.0905;  100.0;   99.2;  1.25e-02;
         8;  0.0100;   1;    680;  4.5573;   99.6;   99.2;  7.65e-02;
         8;  0.0100;   2;     62;  0.2095;   99.6;   99.2;  7.65e-02;
         8;  0.0100;   3;   2125;  0.0498;   99.2;   99.2;  7.72e-02;
         8;  0.1000;   1;     90;  0.3608;   88.4;   84.0;  1.65e-01;
         8;  0.1000;   2;     27;  0.7145;   88.4;   84.0;  1.65e-01;
         8;  0.1000;   3;   2125;  0.3535;   93.6;   88.8;  1.67e-01;
         9;  0.0000;   1;   1000;  7.4428;  100.0;   99.6;  3.53e-03;
         9;  0.0000;   2;     46;  0.9957;   99.6;   99.6;  4.00e-03;
         9;  0.0000;   3;  14750;  0.2367;   99.6;   99.6;  7.84e-03;
         9;  0.0100;   1;    670;  4.6169;   99.6;   99.6;  6.27e-02;
         9;  0.0100;   2;     55;  0.1798;   99.6;   99.6;  6.27e-02;
         9;  0.0100;   3;   2875;  0.0596;   99.2;  100.0;  6.31e-02;
         9;  0.1000;   1;     83;  1.2671;   98.0;   98.0;  1.56e-01;
         9;  0.1000;   2;     25;  0.0795;   98.0;   98.0;  1.56e-01;
         9;  0.1000;   3;   2875;  0.0600;   98.8;   99.6;  1.58e-01;
         0;  0.0000;   1;   1000;  7.8562;  100.0;   99.2;  1.27e-03;
         0;  0.0000;   2;     25;  0.2716;  100.0;   99.6;  1.20e-07;
         0;  0.0000;   3; 125125;  2.7460;  100.0;   98.8;  4.89e-04;
         0;  0.0100;   1;    642;  4.6770;  100.0;   99.6;  4.84e-02;
         0;  0.0100;   2;     56;  0.9033;  100.0;   99.6;  4.84e-02;
         0;  0.0100;   3;   1375;  0.0360;   99.6;   99.6;  5.70e-02;
         0;  0.1000;   1;     80;  0.3135;  100.0;   98.4;  1.40e-01;
         0;  0.1000;   2;     23;  0.0928;  100.0;   98.4;  1.40e-01;
         0;  0.1000;   3;   3000;  0.0592;  100.0;   99.6;  1.41e-01;
