num_target;      la; isd;  niter;     tex; tr_acc; te_acc;        L*;
         1;  0.0000;   1;   1000; 405.9196;  100.0;  100.0;  8.38e-04;
         1;  0.0000;   2;   1000; 688.9278;  100.0;  100.0;  1.29e-04;
         1;  0.0000;   3; 100100; 68.2164;   99.9;  100.0;  6.40e-04;
         2;  0.0000;   1;   1000; 416.0802;   99.6;   99.8;  4.26e-03;
         2;  0.0000;   2;    181; 63.1329;   99.8;   99.7;  2.30e-03;
         2;  0.0000;   3; 100100; 68.0360;   99.6;   99.8;  3.51e-03;
         3;  0.0000;   1;   1000; 391.3283;   99.1;   99.0;  8.69e-03;
         3;  0.0000;   2;    222; 73.5201;   99.2;   99.0;  6.50e-03;
         3;  0.0000;   3; 100100; 70.1872;   99.1;   99.0;  7.77e-03;
         4;  0.0000;   1;   1000; 395.6946;  100.0;  100.0;  7.28e-04;
         4;  0.0000;   2;     59; 23.4517;  100.0;  100.0;  5.03e-05;
         4;  0.0000;   3; 100100; 67.1511;  100.0;   99.9;  4.92e-04;
         5;  0.0000;   1;   1000; 386.4738;   99.9;   99.9;  1.50e-03;
         5;  0.0000;   2;     81; 27.0782;  100.0;   99.9;  2.50e-04;
         5;  0.0000;   3; 100100; 64.8646;   99.9;   99.9;  1.06e-03;
         6;  0.0000;   1;   1000; 400.3474;   99.8;   99.8;  2.85e-03;
         6;  0.0000;   2;    129; 40.3364;   99.9;   99.7;  9.50e-04;
         6;  0.0000;   3; 100100; 64.8341;   99.8;   99.8;  2.27e-03;
         7;  0.0000;   1;   1000; 387.5057;   99.9;  100.0;  1.34e-03;
         7;  0.0000;   2;     71; 24.8760;  100.0;  100.0;  3.00e-04;
         7;  0.0000;   3; 100100; 64.6955;   99.9;  100.0;  9.91e-04;
         8;  0.0000;   1;   1000; 375.6311;   98.3;   98.2;  1.48e-02;
         8;  0.0000;   2;    142; 44.1817;   98.4;   98.5;  1.26e-02;
         8;  0.0000;   3; 100100; 64.8798;   98.4;   98.4;  1.37e-02;
         9;  0.0000;   1;   1000; 375.1099;   99.2;   99.4;  8.06e-03;
         9;  0.0000;   2;     56; 19.3680;   98.9;   99.0;  1.08e-02;
         9;  0.0000;   3; 100100; 64.4081;   99.2;   99.3;  7.22e-03;
         0;  0.0000;   1;   1000; 376.2220;   99.6;   99.4;  4.66e-03;
         0;  0.0000;   2;   1000; 612.0900;   99.7;   99.4;  2.90e-03;
         0;  0.0000;   3; 100100; 65.8919;   99.6;   99.5;  3.93e-03;
